category_name,product_count,avg_rating,avg_monthly_sales,total_monthly_sales,avg_price
Kitchen & Dining,4812,4.56,2158.7,10387600.0,26.59
Hair Care Products,8494,4.43,931.9,7915350.0,21.19
Industrial & Scientific,3864,4.57,1826.4,7057250.0,18.92
Household Cleaning Supplies,7049,4.41,961.6,6778050.0,19.3
Skin Care Products,7717,4.48,828.2,6391300.0,21.26
Health & Household,711,4.57,8494.1,6039300.0,15.51
Toys & Games,12118,4.51,472.5,5726100.0,27.2
Home Storage & Organization,8893,4.51,599.7,5333200.0,34.02
Dog Supplies,8055,4.39,562.8,4533350.0,24.85
Household Supplies,1762,4.57,2408.3,4243400.0,16.98
Makeup,7598,4.3,535.3,4067250.0,14.64
Home D̩cor Products,7728,4.49,523.1,4042800.0,19.96
Sports & Fitness,6409,4.47,626.3,4013700.0,25.05
Personal Care Products,1242,4.49,3177.5,3946500.0,18.72
Health Care Products,2437,4.43,1518.5,3700600.0,18.88