category_name,product_count,avg_rating,avg_price,value_score,avg_monthly_sales
Baby Stationery,1321,4.67,12.62,0.3699,4.4
Stationery & Gift Wrapping Supplies,431,4.63,13.37,0.3462,283.3
Arts & Crafts Supplies,7619,4.52,13.78,0.3281,171.5
Party Decorations,8003,4.52,13.78,0.3279,135.6
Party Supplies,6654,4.57,14.08,0.3248,343.0
Gift Wrapping Supplies,7919,4.6,14.33,0.321,86.7
"Foot, Hand & Nail Care Products",9179,4.34,13.68,0.3172,365.1
Sewing Products,7991,4.52,15.07,0.2999,187.8
Kids' Party Supplies,3862,4.5,15.07,0.2987,99.5
Fasteners,7572,4.53,15.28,0.2963,34.2
Health & Household,714,4.57,15.51,0.2945,8458.4
Scrapbooking & Stamping Supplies,5698,4.52,15.45,0.2928,87.2
Makeup,7953,4.3,14.71,0.2924,511.4
Baby Care Products,5940,4.48,15.4,0.2909,222.2
Beauty Tools & Accessories,5987,4.41,15.28,0.2888,507.1
Beading & Jewelry Making,8022,4.49,15.65,0.287,136.3
Craft Supplies & Materials,7633,4.51,16.24,0.278,349.1
Girls' Accessories,3369,4.48,16.4,0.2729,13.6
Household Supplies,1898,4.57,16.87,0.2707,2235.7
Boys' Jewelry,8710,4.39,16.35,0.2685,6.2