product_id,title,category_name,stars,reviews,price,boughtInLastMonth,isBestSeller,performance_score,simple_score
B09JVTQKDN,"Queen Size Sheet Set - Breathable & Cooling Sheets - Hotel Luxury Bed Sheets for Women, Men Kids & Teens - Deep Pockets - 4 Piece Set - Soft & Wrinkle Free - Off White Bed Sheets - Comfy Queen Sheets",Kids' Home Store,4.5,281661,32.99,2000,true,56.47,1267475.0
B07PH22TG9,"Queen Size Sheet Set - Breathable & Cooling Sheets - Hotel Luxury Bed Sheets for Women, Men Kids & Teens - Deep Pockets - 4 Piece Set - Soft & Wrinkle Free - Spa Blue Bed Sheets - Queen Sheets - 4PC",Kids' Home Store,4.5,281661,32.99,1000,true,56.47,1267475.0
B07VMNJHBK,"Full Size Sheet Set - Breathable & Cooling Sheets - Hotel Luxury Bed Sheets - Extra Soft Sheets for Kids, Teens, Women & Men - Deep Pockets - 4 Piece Set - Comfy - Wrinkle Free - Light Grey Bed Sheets",Kids' Home Store,4.5,281661,28.99,2000,true,56.47,1267475.0
B00DI88YCC,"HDMI Cable 4K – 20ft – with A.I.S Shielding – Designed in Germany (Supports All HDMI Devices Like PS5, Xbox, Switch – 4K@60Hz, High Speed HDMI Cord with Ethernet, Black) – by CableDirect",Televisions & Video Products,4.7,151664,14.99,0,false,56.07,712821.0
B00DI895MU,"HDMI Cable 4K – 40ft – with A.I.S Shielding – Designed in Germany (Supports All HDMI Devices Like PS5, Xbox, Switch – 4K@60Hz, High Speed HDMI Cord with Ethernet, Black) – by CableDirect",Televisions & Video Products,4.7,151664,26.99,0,false,56.07,712821.0
B01LWVX2RG,DualShock 4 Wireless Controller for PlayStation 4 - Jet Black,"PlayStation 4 Games, Consoles & Accessories",4.7,149155,58.99,4000,true,55.99,701029.0
B07KKXQNMY,"Schick Hydro Silk Touch-Up Exfoliating Dermaplaning Tool, Face & Eyebrow Razor with Precision Cover- 9 Count | Dermaplaning Razor For Women",Shaving & Hair Removal Products,4.6,183726,16.49,10000,true,55.76,845140.0
B08N5NQ869,"Ring Video Doorbell - 1080p HD video, improved motion detection, easy installation – Satin Nickel",Smart Home: Security Cameras and Systems,4.6,173248,99.99,0,false,55.49,796941.0
B01NBNDC1T,"Utopia Bedding Throw Pillows Insert (Pack of 2, White) - 18 x 18 Inches Bed and Couch Pillows - Indoor Decorative Pillows",Home Décor Products,4.6,172980,16.99,30000,true,55.48,795708.0
B075XLWML4,Roku Streaming Stick+ | HD/4K/HDR Streaming Device with Long-range Wireless and Roku Voice Remote with TV Controls,Televisions & Video Products,4.7,125430,59.0,0,false,55.18,589521.0